id,date_accident,accident_type,district,longitude,latitude,road_condition,weather_condition,road_part,number_of_participants,vehicle_brand_uz,vehicle_model_uz,vehicle_color_uz,year_manufacture
164021,2023-11-23T18:30:01,piyodani urib yuborish,Yashnobod tumani,69.3607,41.2813,quruq,kun ochiq,yo'lning tog'ri qismi,3,HOWO,,oq,2018.0
164020,2023-11-23T20:30:03,piyodani urib yuborish,Yangihayot tumani,69.1946,41.2394,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,oq,2013.0
164019,2023-11-23T00:30:32,to'qnashuv,Yakkasaroy tumani,69.2631,41.3014,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,oq,2017.0
164018,2023-11-23T18:30:56,piyodani urib yuborish,Yashnobod tumani,69.3607,41.2813,quruq,kun ochiq,yo'lning tog'ri qismi,2,HOWO,,oq,2018.0
164017,2023-11-23T01:30:56,piyodani urib yuborish,Jizzax shahri,67.8357,40.1478,xo'l,yomg'irli ,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2009.0
164016,2023-11-22T19:20:29,piyodani urib yuborish,Sharof Rashidov tumani,67.7384,40.1584,xo'l,yomg'irli ,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2022.0
164015,2023-11-21T18:30:04,piyodani urib yuborish,Jizzax shahri,67.8341,40.1427,quruq,kun ochiq,piyodalar o'tish joyi,2,Lada(VAZ),Vesta,xameleon,2019.0
164014,2023-11-11T20:30:08,to'qnashuv,Parkent tumani,69.6817,41.2989,quruq,kun ochiq,yo'lning burilish qismi,1,Chevrolet,Matiz,oq,2007.0
164013,2023-10-21T23:30:10,to'qnashuv,Jizzax shahri,67.8290,40.1267,quruq,kun ochiq,tartibga solingan chorraha,3,Chevrolet,HHR,oq,2021.0
164012,2023-07-08T12:30:22,to'qnashuv,To'raqo'rg'on tumani,71.4485,40.9779,quruq,kun ochiq,,2,Daewoo,Damas,qaymoq rang,2009.0
164011,2023-09-08T09:30:13,to'qnashuv,To'raqo'rg'on tumani,71.4787,40.8835,quruq,kun ochiq,,2,IJ (ИЖ),Иж-2715,oq,1987.0
164010,2023-10-27T16:00:15,to'qnashuv,To'raqo'rg'on tumani,71.5018,40.9789,quruq,kun ochiq,boshqa holatlar,3,Chevrolet,Cobalt,oq,2017.0
164009,2023-10-12T13:30:44,piyodani urib yuborish,Pop tumani,71.1090,40.8724,quruq,kun ochiq,boshqa holatlar,2,Chevrolet,Damas,oq,2017.0
164008,2023-11-06T20:00:40,velosipedchini urib yuborish,To'raqo'rg'on tumani,71.5114,40.9821,quruq,kun ochiq,,2,Chevrolet,Damas,oq,2004.0
164007,2023-11-05T17:30:25,to'qnashuv,Yangiqo'rg'on tumani,71.6844,41.1275,quruq,kun ochiq,boshqa holatlar,2,Chevrolet,Lacetti,oq,2014.0
164006,2023-11-05T10:00:22,to'qnashuv,Uychi tumani,71.8429,41.0264,quruq,kun ochiq,,2,Chevrolet,Nexia 3,oq,2020.0
164005,2023-11-05T17:35:11,piyodani urib yuborish,Pop tumani,70.8048,40.8204,quruq,kun ochiq,,2,Chevrolet,Cobalt,oq,2014.0
164004,2023-10-11T20:30:47,piyodani urib yuborish,Pop tumani,71.0843,40.8683,quruq,kun ochiq,,2,Chevrolet,Cobalt,oq,2020.0
164003,2023-10-26T07:50:12,piyodani urib yuborish,Namangan tumani,71.4664,40.8498,quruq,kun ochiq,,2,Chevrolet,Damas,oq,1996.0
164002,2023-10-31T13:00:24,piyodani urib yuborish,Yangiqo'rg'on tumani,71.6796,41.3995,quruq,kun ochiq,boshqa holatlar,2,Chevrolet,Damas,oq,1999.0
164001,2023-10-31T13:00:24,piyodani urib yuborish,,,,,,,0,,,,
164000,2023-10-31T13:00:24,piyodani urib yuborish,,,,,,,0,,,,
163999,2023-10-31T13:00:24,piyodani urib yuborish,,,,,,,0,,,,
163998,2023-10-31T13:00:24,piyodani urib yuborish,,,,,,,0,,,,
163997,2023-11-19T13:30:45,YTHning boshqa turlari,Parkent tumani,69.6340,41.1622,quruq,kun ochiq,yo'lning burilish qismi,1,Chevrolet,Nexia,oq,2010.0
163996,2023-11-21T16:00:36,piyodani urib yuborish,To'raqo'rg'on tumani,71.4842,41.0214,quruq,kun ochiq,,2,Daewoo,Damas,to'q qizil,2005.0
163995,2023-08-09T17:30:13,ag'darilish,To'raqo'rg'on tumani,71.4038,40.9657,quruq,kun ochiq,,2,Daewoo,Damas,qaymoq rang,2015.0
163994,2023-11-19T15:00:01,piyodani urib yuborish,Parkent tumani,69.6748,41.1521,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Matiz,kulrang,2009.0
163993,2023-08-16T18:20:33,to'qnashuv,To'raqo'rg'on tumani,71.4389,40.9073,quruq,kun ochiq,,2,Daewoo,Damas,qaymoq rang,2014.0
163992,2023-10-06T07:20:10,to'qnashuv,To'raqo'rg'on tumani,71.5048,40.9406,quruq,kun ochiq,piyodalar o'tish joyi,2,Daewoo,Damas,oq,2008.0
163991,2023-09-30T21:00:59,to'qnashuv,To'raqo'rg'on tumani,71.4121,40.9637,quruq,kun ochiq,umumfoydalanishdagi TV to'xtash joyi,2,Daewoo,Damas,qaymoq rang,2022.0
163990,2023-11-19T18:30:44,piyodani urib yuborish,To'raqo'rg'on tumani,71.4670,40.9595,quruq,kun ochiq,piyodalar o'tish joyi,4,Daewoo,Damas,qaymoq rang,2011.0
163989,2023-10-23T10:00:17,piyodani urib yuborish,Yunusobod tumani,69.3014,41.3540,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,oq,2017.0
163988,2023-10-23T16:10:29,to'siqqa urilish,Yangihayot tumani,69.2795,41.1649,quruq,kun ochiq,yo'lning tog'ri qismi,1,Daewoo,Matiz,oq,2015.0
163987,2023-10-23T10:20:08,piyodani urib yuborish,Sirg'ali tumani,69.2127,41.2262,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,oq,2014.0
163986,2023-10-23T08:30:06,piyodani urib yuborish,Yunusobod tumani,69.2929,41.3656,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2020.0
163985,2023-10-21T14:00:06,piyodani urib yuborish,Olmazor tumani,69.1996,41.3767,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,oq,2023.0
163984,2023-10-21T21:50:39,piyodani urib yuborish,Yashnobod tumani,69.3352,41.2409,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,qora,2022.0
163983,2023-10-21T14:00:49,to'qnashuv,Uchtepa tumani,69.1737,41.2829,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Lacetti,qora,2022.0
163982,2023-10-20T14:00:40,piyodani urib yuborish,Mirzo ulug'bek tumani,69.3238,41.3244,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,oq,2017.0
163981,2023-10-20T02:00:43,to'siqqa urilish,Yakkasaroy tumani,69.3277,41.3053,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2017.0
163980,2023-10-20T22:30:32,piyodani urib yuborish,Yashnobod tumani,69.3277,41.3053,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2022.0
163979,2023-10-19T00:10:40,to'siqqa urilish,Bektemir tumani,69.5971,41.4420,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,kulrang,2006.0
163978,2023-10-19T01:30:48,to'qnashuv,Chilonzor tumani,69.2256,41.2904,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,,oq,2023.0
163977,2023-10-19T17:00:11,piyodani urib yuborish,Chilonzor tumani,69.2617,41.2443,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia 3,oq,2019.0
163976,2023-10-19T16:00:22,piyodani urib yuborish,Olmazor tumani,69.2423,41.3605,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,oq,2022.0
