id,date_accident,accident_type,district,longitude,latitude,road_condition,weather_condition,road_part,number_of_participants,vehicle_brand_uz,vehicle_model_uz,vehicle_color_uz,year_manufacture
164020,2023-11-23,piyodani urib yuborish,Yangihayot tumani,69.1946,41.2394,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,oq,2013.0
164019,2023-11-23,to'qnashuv,Yakkasaroy tumani,69.2631,41.3014,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,oq,2017.0
164017,2023-11-23,piyodani urib yuborish,Jizzax shahri,67.8357,40.1478,xo'l,yomg'irli ,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2009.0
164016,2023-11-22,piyodani urib yuborish,Sharof Rashidov tumani,67.7384,40.1584,xo'l,yomg'irli ,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2022.0
164015,2023-11-21,piyodani urib yuborish,Jizzax shahri,67.8341,40.1427,quruq,kun ochiq,piyodalar o'tish joyi,2,Lada(VAZ),Vesta,xameleon,2019.0
164014,2023-11-11,to'qnashuv,Parkent tumani,69.6817,41.2989,quruq,kun ochiq,yo'lning burilish qismi,1,Chevrolet,Matiz,oq,2007.0
164013,2023-10-21,to'qnashuv,Jizzax shahri,67.829,40.1267,quruq,kun ochiq,tartibga solingan chorraha,3,Chevrolet,HHR,oq,2021.0
164010,2023-10-27,to'qnashuv,To'raqo'rg'on tumani,71.5018,40.9789,quruq,kun ochiq,boshqa holatlar,3,Chevrolet,Cobalt,oq,2017.0
164009,2023-10-12,piyodani urib yuborish,Pop tumani,71.109,40.8724,quruq,kun ochiq,boshqa holatlar,2,Chevrolet,Damas,oq,2017.0
164007,2023-11-05,to'qnashuv,Yangiqo'rg'on tumani,71.6844,41.1275,quruq,kun ochiq,boshqa holatlar,2,Chevrolet,Lacetti,oq,2014.0
164002,2023-10-31,piyodani urib yuborish,Yangiqo'rg'on tumani,71.6796,41.3995,quruq,kun ochiq,boshqa holatlar,2,Chevrolet,Damas,oq,1999.0
163997,2023-11-19,YTHning boshqa turlari,Parkent tumani,69.634,41.1622,quruq,kun ochiq,yo'lning burilish qismi,1,Chevrolet,Nexia,oq,2010.0
163994,2023-11-19,piyodani urib yuborish,Parkent tumani,69.6748,41.1521,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Matiz,kulrang,2009.0
163992,2023-10-06,to'qnashuv,To'raqo'rg'on tumani,71.5048,40.9406,quruq,kun ochiq,piyodalar o'tish joyi,2,Daewoo,Damas,oq,2008.0
163991,2023-09-30,to'qnashuv,To'raqo'rg'on tumani,71.4121,40.9637,quruq,kun ochiq,umumfoydalanishdagi TV to'xtash joyi,2,Daewoo,Damas,qaymoq rang,2022.0
163990,2023-11-19,piyodani urib yuborish,To'raqo'rg'on tumani,71.467,40.9595,quruq,kun ochiq,piyodalar o'tish joyi,4,Daewoo,Damas,qaymoq rang,2011.0
163989,2023-10-23,piyodani urib yuborish,Yunusobod tumani,69.3014,41.354,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,oq,2017.0
163988,2023-10-23,to'siqqa urilish,Yangihayot tumani,69.2795,41.1649,quruq,kun ochiq,yo'lning tog'ri qismi,1,Daewoo,Matiz,oq,2015.0
163987,2023-10-23,piyodani urib yuborish,Sirg'ali tumani,69.2127,41.2262,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,oq,2014.0
163986,2023-10-23,piyodani urib yuborish,Yunusobod tumani,69.2929,41.3656,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2020.0
163985,2023-10-21,piyodani urib yuborish,Olmazor tumani,69.1996,41.3767,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,oq,2023.0
163984,2023-10-21,piyodani urib yuborish,Yashnobod tumani,69.3352,41.2409,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,qora,2022.0
